Name,Type,Country
Ordnance QF 3.7 inch Mountain Howitzer  ,Field Gun  ,United Kingdom  
Ordnance QF 4.5 inch Howitzer  ,Field Gun  ,United Kingdom  
Ordnance QF 6-pounder 7 cwt  ,Field Gun  ,United Kingdom  
Ordnance SBML 2-inch Mortar  ,Launcher  ,United Kingdom  
OTO Model 35  ,Grenade  ,Italy  
OVP  ,Submachine Gun  ,Italy  
Owen Machine Carbine  ,Submachine Gun  ,Australia  
Panzerbüchse 38  ,Anti-Tank Rifle  ,Germany  
Panzerbüchse 39  ,Anti-Tank Rifle  ,Germany  
Panzerfaust  ,Launcher  ,Germany  
Parabellum P08 'Luger'  ,Handgun  ,Germany  
PIAT  ,Launcher  ,United Kingdom  
PPD  ,Submachine Gun  ,Russia  
PPS  ,Submachine Gun  ,Russia  
PPSh-41  ,Submachine Gun  ,Russia  
Raketenpanzerbüchse 'Panzerschreck'  ,Launcher  ,Germany  
RG-42  ,Grenade  ,Russia  
RGD-33  ,Grenade  ,Russia  
RPG-40  ,Grenade  ,Russia  
RPG-43  ,Grenade  ,Russia  
Sauer 38H  ,Handgun  ,Germany  
Schwarzlose MG M.07/12  ,Machine Gun  ,Austria  
SG-43 Goryunov  ,Machine Gun  ,Russia  
Simonov PTRS-41  ,Anti-Tank Rifle  ,Russia  
Smith & Wesson M1917  ,Handgun  ,United States  
Solothurn S-18/100  ,Anti-Tank Rifle  ,Switzerland  
Springfield M1903  ,Rifle  ,United States  
SRCM Model 35  ,Grenade  ,Italy  
St. Étienne Mle 1907  ,Machine Gun  ,France  
Stahlhelm  ,Headgear  ,Germany  
Sten  ,Submachine Gun  ,United Kingdom  
Steyr M1912  ,Handgun  ,Austria  
Steyr-Mannlicher M1895  ,Rifle  ,Austria  
Sturmgewehr 44  ,Rifle  ,Germany  
Thompson  ,Submachine Gun  ,United States  
Tokarev SVT-40  ,Rifle  ,Russia  
Tokarev TT-33  ,Handgun  ,Russia  
Type 04  ,Handgun  ,Japan  
Type 1 37 mm  ,Anti-Tank Gun  ,Japan  
Type 1 47 mm  ,Anti-Tank Gun  ,Japan  
Type 10 120 mm  ,Anti-Aircraft Gun  ,Japan  
Type 100  ,Submachine Gun  ,Japan  
Type 11 37 mm  ,Field Gun  ,Japan  
Type 11 75 mm  ,Anti-Aircraft Gun  ,Japan  
Type 11  ,Machine Gun  ,Japan  
Type 14 10 cm AA  ,Anti-Aircraft Gun  ,Japan  
Type 14 10 cm Cannon  ,Field Gun  ,Japan  
Type 14  ,Handgun  ,Japan  
Type 26  ,Handgun  ,Japan  
Type 3 12 cm  ,Anti-Aircraft Gun  ,Japan  
Type 3 120 mm  ,Coastal Defense Gun  ,Japan  
Type 3 8 cm  ,Anti-Aircraft Gun  ,Japan  
Type 38 75 mm  ,Field Gun  ,Japan  
Type 4 75 mm  ,Anti-Aircraft Gun  ,Japan  
Type 41 75 mm Regimental Gun  ,Field Gun  ,Japan  
Type 45 24 cm Howitzer  ,Field Gun  ,Japan  
Type 5 15 cm AA  ,Anti-Aircraft Gun  ,Japan  
Type 88 75 mm  ,Anti-Aircraft Gun  ,Japan  
Type 89 15 cm Cannon  ,Field Gun  ,Japan  
Type 89  ,Launcher  ,Japan  
Type 91 105 mm Howitzer  ,Field Gun  ,Japan  
Type 91  ,Grenade  ,Japan  
Type 92 10 cm Cannon  ,Field Gun  ,Japan  
Type 92 Battalion Gun  ,Field Gun  ,Japan  
Type 92  ,Machine Gun  ,Japan  
Type 94 37 mm  ,Anti-Tank Gun  ,Japan  
Type 94 75 mm  ,Field Gun  ,Japan  
Type 94  ,Handgun  ,Japan  
Type 94  ,Launcher  ,Japan  
Type 95 75 mm  ,Field Gun  ,Japan  
Type 96 15 cm Howitzer  ,Field Gun  ,Japan  
Type 96  ,Machine Gun  ,Japan  
Type 97  ,Machine Gun  ,Japan  
Type 97  ,Anti-Tank Rifle  ,Japan  
Type 97  ,Grenade  ,Japan  
Type 98 320 mm  ,Launcher  ,Japan  
Type 98 50 mm  ,Launcher  ,Japan  
Type 99 Mark 1  ,Aircraft Autocannon  ,Japan  
Type 99 Mark 2  ,Aircraft Autocannon  ,Japan  
Type 99  ,Machine Gun  ,Japan  
TZ-45  ,Submachine Gun  ,Italy  
Vergeltungswaffe 1  ,Missile  ,Germany  
Vergeltungswaffe 2  ,Missile  ,Germany  
Vickers Gun  ,Machine Gun  ,United Kingdom  
Vickers K  ,Machine Gun  ,United Kingdom  
Vickers-Berthier  ,Machine Gun  ,United Kingdom  
Vis  ,Handgun  ,Poland  
Walther P38  ,Handgun  ,Germany  
Webley Mk IV  ,Handgun  ,United Kingdom  
Winchester Model 1897  ,Shotgun  ,United States  
Winchester Model 1912  ,Shotgun  ,United States  
ZB vz. 24  ,Rifle  ,Czechoslovakia  
ZB vz. 26  ,Machine Gun  ,Czechoslovakia  
ZB vz. 37 (BESA)  ,Machine Gun  ,Czechoslovakia  
ZH-29  ,Rifle  ,Czechoslovakia  
ZK-383  ,Submachine Gun  ,Czechoslovakia 
